candidate,filename,topic_id,prob
artes,artes.pdf,0,2.111157118633855e-05
artes,artes.pdf,1,0.9999151229858398
artes,artes.pdf,2,2.1526549971895292e-05
artes,artes.pdf,3,2.1105966879986227e-05
artes,artes.pdf,4,2.1139758246135898e-05
harold,harold.pdf,0,4.0530194382881746e-05
harold,harold.pdf,1,4.171969703747891e-05
harold,harold.pdf,2,0.9998365640640259
harold,harold.pdf,3,4.05207829317078e-05
harold,harold.pdf,4,4.061722938786261e-05
jara,jara.pdf,0,0.0002278586762258783
jara,jara.pdf,1,0.04012786224484444
jara,jara.pdf,2,0.9591884016990662
jara,jara.pdf,3,0.00022780612925998867
jara,jara.pdf,4,0.0002280794724356383
kaiser,kaiser.pdf,0,7.287886091944529e-06
kaiser,kaiser.pdf,1,7.478923180315178e-06
kaiser,kaiser.pdf,2,0.9999706745147705
kaiser,kaiser.pdf,3,7.2851235017878935e-06
kaiser,kaiser.pdf,4,7.300914148800075e-06
matthei,matthei.pdf,0,3.127586023765616e-05
matthei,matthei.pdf,1,3.187032416462898e-05
matthei,matthei.pdf,2,0.9998742341995239
matthei,matthei.pdf,3,3.126784213236533e-05
matthei,matthei.pdf,4,3.1319174013333395e-05
meo,meo.pdf,0,7.48664460843429e-05
meo,meo.pdf,1,7.679092232137918e-05
meo,meo.pdf,2,0.9996985793113708
meo,meo.pdf,3,7.484088564524427e-05
meo,meo.pdf,4,7.49430400901474e-05
parisi,parisi.pdf,0,1.4192337403073907e-05
parisi,parisi.pdf,1,1.4459771591646131e-05
parisi,parisi.pdf,2,0.99994295835495
parisi,parisi.pdf,3,1.418790179741336e-05
parisi,parisi.pdf,4,1.421066826878814e-05
kast,kast.pdf,0,4.6989222028059885e-05
kast,kast.pdf,1,4.81017013953533e-05
kast,kast.pdf,2,0.9998108744621277
kast,kast.pdf,3,4.6977762394817546e-05
kast,kast.pdf,4,4.704067396232858e-05
